# ----------------------------------------
# CitationFormatChecker
# Landing Page Performance [PSEO]-Free form 1
# 20251029-20251228
# ----------------------------------------

,Segment,Exclude Israel,Exclude Israel,Exclude Israel,Exclude Israel,Exclude Israel,Exclude Israel,Totals,Totals,Totals,Totals,Totals,Totals
Landing page + query string,Session source / medium,Sessions,New users,Total users,User engagement,Average engagement time per session,Engagement rate,Sessions,New users,Total users,User engagement,Average engagement time per session,Engagement rate
/how-to-cite-blog-apa/,perplexity.ai / referral,2,2,2,55,27.5,1,2,2,2,55,27.5,1
/how-to-cite-book-apa/,chatgpt.com / referral,2,2,2,618,309,1,2,2,2,618,309,1
/how-to-cite-book-chapter-apa/,bing / organic,2,2,2,64,32,0.5,2,2,2,64,32,0.5
/how-to-cite-conference-paper-apa/,bing / organic,2,2,2,337,168.5,0.5,2,2,2,337,168.5,0.5
/how-to-cite-conference-paper-apa/,chatgpt.com / referral,2,2,2,306,153,1,2,2,2,306,153,1
/how-to-cite-ebook-apa/,(direct) / (none),2,2,2,0,0,0,2,2,2,0,0,0
/how-to-cite-facebook-apa/,chatgpt.com / (not set),2,2,2,162,81,0.5,2,2,2,162,81,0.5
/how-to-cite-facebook-apa/,duckduckgo / organic,2,2,2,90,45,1,2,2,2,90,45,1
/how-to-cite-government-report-apa/,perplexity.ai / referral,2,2,2,1,0.5,0,2,2,2,1,0.5,0
/how-to-cite-linkedin-apa/,duckduckgo / organic,2,2,2,65,32.5,1,2,2,2,65,32.5,1
/how-to-cite-podcast-apa/,(direct) / (none),2,2,2,0,0,0,2,2,2,0,0,0
/how-to-cite-press-release-apa/,(direct) / (none),2,2,2,0,0,0,2,2,2,0,0,0
/how-to-cite-report-apa/,(direct) / (none),2,2,2,0,0,0,2,2,2,0,0,0
/how-to-cite-software-apa/,yahoo / organic,2,2,2,51,25.5,0.5,2,2,2,51,25.5,0.5
/how-to-cite-thesis-apa/,bing / organic,2,2,2,71,35.5,0.5,2,2,2,71,35.5,0.5
/how-to-cite-wikipedia-apa/,(direct) / (none),2,2,2,0,0,0,2,2,2,0,0,0
/how-to-cite-wikipedia-apa/,yahoo / organic,2,2,2,20,10,0.5,2,2,2,20,10,0.5
/how-to-cite-working-paper-apa/,yahoo / organic,2,2,2,54,27,0.5,2,2,2,54,27,0.5
/cite-aaai-conference-on-artificial-intelligence-apa/,bing / organic,1,1,1,0,0,1,1,1,1,0,0,1
/cite-acs-nano-apa/,(direct) / (none),1,1,1,1,1,1,1,1,1,1,1,1
/cite-advances-in-physics-apa/,(direct) / (none),1,1,1,0,0,1,1,1,1,0,0,1
/cite-american-economic-review-apa/,bing / organic,1,1,1,53,53,1,1,1,1,53,53,1
/cite-american-sociological-review-apa/,bing / organic,1,1,1,0,0,1,1,1,1,0,0,1
/cite-angewandte-chemie-international-edition-apa/,google / organic,1,1,1,4,4,1,1,1,1,4,4,1
/cite-apa-journal-apa/,duckduckgo / organic,1,1,1,17,17,1,1,1,1,17,17,1
/cite-apa-journal-apa/,malaysia.search.yahoo.com / referral,1,1,1,0,0,1,1,1,1,0,0,1
/cite-associated-press-apa/,de.search.yahoo.com / referral,1,1,1,75,75,1,1,1,1,75,75,1
/cite-associated-press-apa/,ecosia.org / organic,1,1,1,0,0,1,1,1,1,0,0,1
/cite-bbc-news-apa/,(direct) / (none),1,1,1,16,16,1,1,1,1,16,16,1
/cite-bbc-news-apa/,chatgpt.com / referral,1,1,1,2,2,1,1,1,1,2,2,1
/cite-bloomberg-apa/,bing / organic,1,1,1,0,0,1,1,1,1,0,0,1
/cite-bloomberg-apa/,chatgpt.com / (not set),1,1,1,0,0,1,1,1,1,0,0,1
/cite-bloomberg-apa/,google / organic,1,1,1,6,6,1,1,1,1,6,6,1
/cite-bloomberg-apa/,ph.search.yahoo.com / referral,1,1,1,10,10,1,1,1,1,10,10,1
/cite-bmj-apa/,(direct) / (none),1,1,1,0,0,1,1,1,1,0,0,1
/cite-britannica-apa,(not set),1,0,1,11,11,0,1,0,1,11,11,0
/cite-britannica-apa/,(not set),1,0,1,185,185,0,1,0,1,185,185,0
/cite-britannica-apa/,copilot.com / (not set),1,1,1,0,0,1,1,1,1,0,0,1
/cite-britannica-apa/,ecosia.org / organic,1,1,1,0,0,1,1,1,1,0,0,1
